BBRef Season ID;Season Name;Synergy Season ID
2008;2007-08;57589fa55762021398add100
2009;2008-09;57589fa55762021398add101
2010;2009-10;57589fa55762021398add102
2011;2010-11;57589fa55762021398add103
2012;2011-12;57589fa55762021398add104
2013;2012-13;57589fa55762021398add105
2014;2013-14;57589fa55762021398add106
2015;2014-15;57589fa55762021398add107
2016;2015-16;57589fa55762021398add108
2017;2016-17;584a9a24d95ef3f74c17d058
2018;2017-18;59f6b83df934491175ce9c5b
2019;2018-19;5bc392c0aeda719939860403
2020;2019-20;5d9e637b7455336e876e6789
2021;2020-21;601c254d6416d8c9ea744f7a
2022;2021-22;60ef71d0f172c7ea93b0bcbd
2023;2022-23;633ddfc7722ccbead8a35a06
