Basketball Ref Team ID;Team Name;Mongo Team ID
AUS;Austin Spurs;54457dd3300969b132fcfe6f
BIR;Birmingham Squadron;5d9e5b4f7455336e8763a4ac
CCG;Capital City Go-Go;5bc39067aeda7199398147f4
CAN;Cleveland Charge;54457dd3300969b132fcfe71
CPS;College Park Skyhawks;59e6128444b2b8aa7e89bf2e
DEL;Delaware Blue Coats;54457dd3300969b132fcfe7c
FWN;Fort Wayne Mad Ants;54457dd3300969b132fcfe6c
GLI;G-League Ignite;6016e0a9c952fbab2f28a806
SPR;Grand Rapids Gold;54457dd3300969b132fcfe7d
GBO;Greensboro Swarm;579647b057620213986093ca
IWA;Iowa Wolves;54457dd3300969b132fcfe6a
ERI;Lakeland Magic;54457dd3300969b132fcfe78
LIN;Long Island Nets;57f3b8c81b427fb40bed5fc9
MAI;Maine Celtics;54457dd3300969b132fcfe7a
MHU;Memphis Hustle;59e6128444b2b8aa7e89bf44
MXC;Mexico City Capitanes;6138db46ec3a2ac711ae2509
BAK;Motor City Cruise;57f3b8c81b427fb40bed5fc7
TUL;Oklahoma City Blue;54457dd3300969b132fcfe6e
ACC;Ontario Clippers;59e6128444b2b8aa7e89bf41
RAP;Raptors 905;5642e3b6d269224c4b140762
RGV;Rio Grande Valley Vipers;54457dd3300969b132fcfe72
IDA;Salt Lake City Stars;57f3b8c81b427fb40bed5fc8
SCW;Santa Cruz Warriors;54457dd3300969b132fcfe6b
SXF;Sioux Falls Skyforce;54457dd3300969b132fcfe6d
SBL;South Bay Lakers;54457dd3300969b132fcfe77
REN;Stockton Kings;54457dd3300969b132fcfe79
TEX;Texas Legends;54457dd3300969b132fcfe70
WES;Westchester Knicks;54457dd3300969b132fcfe7b
WCB;Windy City Bulls;57eead5d1c496ea6cc9bb83d
WIS;Wisconsin Herd;59e6128444b2b8aa7e89bf47
