BB Ref Team ID;BBRef Season;Synergy Season;Synergy Team
SEA;2005;57589fa45762021398add0bd;54457dd3300969b132fcfe57
NOK;2006;57589fa45762021398add0be;54457dd3300969b132fcfe4a
SEA;2006;57589fa45762021398add0be;54457dd3300969b132fcfe57
NOK;2007;57589fa45762021398add0bf;54457dd3300969b132fcfe4a
SEA;2007;57589fa45762021398add0bf;54457dd3300969b132fcfe57
SEA;2008;57589fa45762021398add0c0;54457dd3300969b132fcfe57
BRK;2013;57589fa45762021398add0c5;54457dd3300969b132fcfe3d
BRK;2014;57589fa45762021398add0c6;54457dd3300969b132fcfe3d
NOP;2014;57589fa45762021398add0c6;54457dd3300969b132fcfe4a
BRK;2015;57589fa45762021398add0c7;54457dd3300969b132fcfe3d
CHO;2015;57589fa45762021398add0c7;54457dd3300969b132fcfe58
NOP;2015;57589fa45762021398add0c7;54457dd3300969b132fcfe4a
BRK;2016;57589fa45762021398add0c8;54457dd3300969b132fcfe3d
CHO;2016;57589fa45762021398add0c8;54457dd3300969b132fcfe58
NOP;2016;57589fa45762021398add0c8;54457dd3300969b132fcfe4a
BRK;2017;57ae10a557620213988d93a2;54457dd3300969b132fcfe3d
CHO;2017;57ae10a557620213988d93a2;54457dd3300969b132fcfe58
NOP;2017;57ae10a557620213988d93a2;54457dd3300969b132fcfe4a
BRK;2018;59af08c917120e9c9a9797ff;54457dd3300969b132fcfe3d
CHO;2018;59af08c917120e9c9a9797ff;54457dd3300969b132fcfe58
NOP;2018;59af08c917120e9c9a9797ff;54457dd3300969b132fcfe4a
BRK;2019;5b6e102011ef0d11039af1e3;54457dd3300969b132fcfe3d
CHO;2019;5b6e102011ef0d11039af1e3;54457dd3300969b132fcfe58
NOP;2019;5b6e102011ef0d11039af1e3;54457dd3300969b132fcfe4a
BRK;2020;5d51e0c6f52909811e13ee2d;54457dd3300969b132fcfe3d
CHO;2020;5d51e0c6f52909811e13ee2d;54457dd3300969b132fcfe58
NOP;2020;5d51e0c6f52909811e13ee2d;54457dd3300969b132fcfe4a
BRK;2021;5fce72f5f68e52f827c39b4c;54457dd3300969b132fcfe3d
CHO;2021;5fce72f5f68e52f827c39b4c;54457dd3300969b132fcfe58
NOP;2021;5fce72f5f68e52f827c39b4c;54457dd3300969b132fcfe4a
BRK;2022;6120261cea4488c9fd5c57c5;54457dd3300969b132fcfe3d
CHO;2022;6120261cea4488c9fd5c57c5;54457dd3300969b132fcfe58
NOP;2022;6120261cea4488c9fd5c57c5;54457dd3300969b132fcfe4a
ATL;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe49
BOS;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe3b
BRK;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe3d
CHO;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe58
CHI;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe4b
CLE;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe4c
DAL;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe42
DEN;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe43
DET;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe4d
GSW;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe51
HOU;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe44
IND;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe4e
LAC;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe52
LAL;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe53
MEM;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe48
MIA;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe3c
MIL;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe4f
MIN;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe45
NOP;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe4a
NYK;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe3e
OKC;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe57
ORL;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe3f
PHI;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe40
PHO;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe54
POR;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe55
SAC;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe56
SAS;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe46
TOR;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe50
UTA;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe47
WAS;2023;62fe65fb2c6c3881c0cf66ba;54457dd3300969b132fcfe41
