Basketball Ref Team ID;Team Name;Mongo Team ID
ATL;Atlanta Hawks;54457dd3300969b132fcfe49
BOS;Boston Celtics;54457dd3300969b132fcfe3b
NJN;Brooklyn Nets;54457dd3300969b132fcfe3d
CHA;Charlotte Hornets;54457dd3300969b132fcfe58
CHI;Chicago Bulls;54457dd3300969b132fcfe4b
CLE;Cleveland Cavaliers;54457dd3300969b132fcfe4c
DAL;Dallas Mavericks;54457dd3300969b132fcfe42
DEN;Denver Nuggets;54457dd3300969b132fcfe43
DET;Detroit Pistons;54457dd3300969b132fcfe4d
GSW;Golden State Warriors;54457dd3300969b132fcfe51
HOU;Houston Rockets;54457dd3300969b132fcfe44
IND;Indiana Pacers;54457dd3300969b132fcfe4e
LAC;Los Angeles Clippers;54457dd3300969b132fcfe52
LAL;Los Angeles Lakers;54457dd3300969b132fcfe53
MEM;Memphis Grizzlies;54457dd3300969b132fcfe48
MIA;Miami Heat;54457dd3300969b132fcfe3c
MIL;Milwaukee Bucks;54457dd3300969b132fcfe4f
MIN;Minnesota Timberwolves;54457dd3300969b132fcfe45
NOH;New Orleans Pelicans;54457dd3300969b132fcfe4a
NYK;New York Knicks;54457dd3300969b132fcfe3e
OKC;Oklahoma City Thunder;54457dd3300969b132fcfe57
ORL;Orlando Magic;54457dd3300969b132fcfe3f
PHI;Philadelphia 76ers;54457dd3300969b132fcfe40
PHO;Phoenix Suns;54457dd3300969b132fcfe54
POR;Portland Trailblazers;54457dd3300969b132fcfe55
SAC;Sacramento Kings;54457dd3300969b132fcfe56
SAS;San Antonio Spurs;54457dd3300969b132fcfe46
TOR;Toronto Raptors;54457dd3300969b132fcfe50
UTA;Utah Jazz;54457dd3300969b132fcfe47
WAS;Washington Wizards;54457dd3300969b132fcfe41
