Sref TeamID From URL,Team Name,Mongo TeamID
abilene-christian,Abilene Christian,54457dd5300969b132fd00e6
air-force,Air Force,54457dd4300969b132fcff15
akron,Akron,54457dd4300969b132fcff0d
alabama-am,Alabama A&M,54457dd4300969b132fcffcd
alabama,Alabama,54457dd3300969b132fcfe82
alabama-state,Alabama State,54457dd4300969b132fcffd2
albany-ny,Albany,54457dd4300969b132fcff28
alcorn-state,Alcorn State,54457dd4300969b132fcff4f
allegheny,Allegheny,54457dda300969b132fd041c
american,American,54457dd4300969b132fcff5d
appalachian-state,Appalachian State,54457dd4300969b132fcffe2
arizona-state,Arizona State,54457dd3300969b132fcfed9
arizona,Arizona,54457dd3300969b132fcfe88
arkansas,Arkansas,54457dd3300969b132fcfeae
arkansas-state,Arkansas State,54457dd3300969b132fcfed6
arkansas-pine-bluff,Arkansas Pine-Bluff,54457dd4300969b132fcff88
army,Army,54457dd4300969b132fcff4e
auburn,Auburn,54457dd3300969b132fcfeff
austin-peay,Austin Peay,54457dd4300969b132fcff98
ball-state,Ball State,54457dd4300969b132fcff60
baylor,Baylor,54457dd4300969b132fcff0c
bellarmine,Bellarmine,54457dd6300969b132fd01b2
belmont,Belmont,54457dd4300969b132fcff21
bethune-cookman,Bethune-Cookman,54457dd4300969b132fcff8c
binghamton,Binghamton,54457dd4300969b132fcffe9
birmingham-southern,Birmingham-Southern,54457dd6300969b132fd01b0
boise-state,Boise State,54457dd4300969b132fcff0a
boston-college,Boston College,54457dd3300969b132fcfe8b
boston-university,Boston University,54457dd4300969b132fcff8e
bowling-green-state,Bowling Green State,54457dd4300969b132fcff95
bradley,Bradley,54457dd3300969b132fcfeec
brigham-young,Brigham Young,54457dd3300969b132fcfefe
brown,Brown,54457dd4300969b132fcff43
bryant,Bryant,54457dd4300969b132fcffe4
bucknell,Bucknell,54457dd3300969b132fcfeda
buffalo,Buffalo,54457dd4300969b132fcff6d
butler,Butler,54457dd3300969b132fcfeb9
cal-poly,Cal Poly,54457dd4300969b132fcff8a
cal-state-bakersfield,Cal State Bakersfield,54457dd4300969b132fcffee
cal-state-fullerton,Cal State Fullerton,54457dd4300969b132fcff6a
cal-state-northridge,Cal State Northridge,54457dd4300969b132fcffc9
california-baptist,California Baptist,54457dd4300969b132fd000a
california,California,54457dd3300969b132fcfeaa
campbell,Campbell,54457dd4300969b132fcffed
canisius,Canisius,54457dd4300969b132fcff65
centenary-la,Centenary,54457dd4300969b132fcff76
central-arkansas,Central Arkansas,54457dd4300969b132fcffa1
central-connecticut-state,Central Connecticut State,54457dd4300969b132fcff96
central-florida,Central Florida,54457dd4300969b132fcff93
central-michigan,Central Michigan,54457dd4300969b132fcffad
charleston-southern,Charleston Southern,54457dd4300969b132fcffc5
charlotte,Charlotte,54457dd3300969b132fcfe9a
chattanooga,Chattanooga,54457dd4300969b132fcff39
chicago-state,Chicago State,54457dd4300969b132fcff44
cincinnati,Cincinnati,54457dd3300969b132fcfe84
clemson,Clemson,54457dd3300969b132fcff00
cleveland-state,Cleveland State,54457dd4300969b132fcff0f
coastal-carolina,Coastal Carolina,54457dd4300969b132fcff7e
colgate,Colgate,54457dd4300969b132fcffec
college-of-charleston,College of Charleston,54457dd4300969b132fcff18
colorado,Colorado,54457dd3300969b132fcfe9f
colorado-state,Colorado State,54457dd4300969b132fcff19
columbia,Columbia,54457dd4300969b132fcff48
connecticut,Connecticut,54457dd3300969b132fcfea2
coppin-state,Coppin State,54457dd3300969b132fcfed4
cornell,Cornell,54457dd3300969b132fcfedb
creighton,Creighton,54457dd4300969b132fcff34
dartmouth,Dartmouth,54457dd4300969b132fcff66
davidson,Davidson,54457dd3300969b132fcfee1
dayton,Dayton,54457dd3300969b132fcfef3
delaware,Delaware,54457dd4300969b132fcff70
delaware-state,Delaware State,54457dd3300969b132fcfecd
denver,Denver,54457dd3300969b132fcfe9d
depaul,Depaul,54457dd3300969b132fcfe8c
detroit-mercy,Detroit,54457dd4300969b132fcff6b
dixie-state,Dixie State,NONE RIGHT NOW BUT WILL IN THE FUTURE SO INGEST IT PLEASE
drake,Drake,54457dd4300969b132fcff90
drexel,Drexel,54457dd4300969b132fcff31
duke,Duke,54457dd3300969b132fcfe80
duquesne,Duquesne,54457dd3300969b132fcfef0
east-carolina,East Carolina,54457dd4300969b132fcff78
east-tennessee-state,East Tennessee State,54457dd4300969b132fcff97
eastern-illinois,Eastern Illinois,54457dd4300969b132fcff40
eastern-kentucky,Eastern Kentucky,54457dd4300969b132fcff54
eastern-michigan,Eastern Michigan,54457dd4300969b132fcffcb
eastern-washington,Eastern Washington,54457dd4300969b132fcff45
elon,Elon,54457dd4300969b132fcffd0
evansville,Evansville,54457dd4300969b132fcff8d
fairfield,Fairfield,54457dd4300969b132fcff57
fairleigh-dickinson,Fairleigh Dickinson,54457dd4300969b132fcffe6
florida-am,Florida A&M,54457dd4300969b132fcff2e
florida-atlantic,Florida Atlantic,54457dd4300969b132fcff3e
florida,Florida,54457dd3300969b132fcfedf
florida-gulf-coast,Florida Gulf Coast,54457dd4300969b132fcffcf
florida-international,Florida International,54457dd4300969b132fcffcc
florida-state,Florida State,54457dd4300969b132fcff10
fordham,Fordham,54457dd4300969b132fcff24
fresno-state,Fresno State,54457dd4300969b132fcff09
furman,Furman,54457dd4300969b132fcff91
gardner-webb,Gardner-Webb,54457dd4300969b132fcff4c
george-mason,George Mason,54457dd4300969b132fcff27
george-washington,George Washington,54457dd3300969b132fcfe89
georgetown,Georgetown,54457dd3300969b132fcfe8e
georgia,Georgia,54457dd3300969b132fcfeab
georgia-southern,Georgia Southern,54457dd4300969b132fcff47
georgia-state,Georgia State,54457dd4300969b132fcff33
georgia-tech,Georgia Tech,54457dd3300969b132fcfee3
gonzaga,Gonzaga,54457dd3300969b132fcfe7f
grambling,Grambling,54457dd4300969b132fcff84
grand-canyon,Grand Canyon,54457dd6300969b132fd0124
green-bay,Green Bay,54457dd3300969b132fcff01
hampton,Hampton,54457dd4300969b132fcff23
hartford,Hartford,54457dd4300969b132fcff7d
harvard,Harvard,54457dd4300969b132fcffc7
hawaii,Hawaii,54457dd4300969b132fcff62
high-point,High Point,54457dd4300969b132fcff5f
hofstra,Hofstra,54457dd4300969b132fcff14
holy-cross,Holy Cross,54457dd4300969b132fcff63
houston-baptist,Houston Baptist,54457dd4300969b132fcffd4
houston,Houston,54457dd4300969b132fcff1b
howard,Howard,54457dd4300969b132fcffeb
idaho-state,Idaho State,54457dd4300969b132fcffa9
idaho,Idaho,54457dd4300969b132fcff2d
illinois,Illinois,54457dd3300969b132fcfe87
illinois-state,Illinois State,54457dd4300969b132fcffb6
illinois-chicago,Illinois-Chicago,54457dd4300969b132fcff72
incarnate-word,Incarnate Word,54457dd7300969b132fd01f6
indiana,Indiana,54457dd3300969b132fcfe94
indiana-state,Indiana State,54457dd4300969b132fcff56
iona,Iona,54457dd3300969b132fcfeb8
iowa,Iowa,54457dd3300969b132fcfece
iowa-state,Iowa State,54457dd3300969b132fcfe95
iupui,IUPUI,54457dd4300969b132fcffa4
jackson-state,Jackson State,54457dd4300969b132fcff75
jacksonville,Jacksonville,54457dd4300969b132fcff3d
jacksonville-state,Jacksonville State,54457dd4300969b132fcffe5
james-madison,James Madison,54457dd4300969b132fcffc2
missouri-kansas-city,Kansas City,54457dd4300969b132fcff81
kansas,Kansas,54457dd3300969b132fcfe9b
kansas-state,Kansas State,54457dd4300969b132fcff03
kennesaw-state,Kennesaw State,54457dd4300969b132fcff9b
kent-state,Kent State,54457dd3300969b132fcfec7
kentucky,Kentucky,54457dd3300969b132fcfe93
la-salle,La Salle,54457dd4300969b132fcff07
lafayette,Lafayette,54457dd4300969b132fcff4a
lamar,Lamar,54457dd4300969b132fcff8f
lehigh,Lehigh,54457dd4300969b132fcff87
liberty,Liberty,54457dd4300969b132fcff53
lipscomb,Lipscomb,54457dd4300969b132fcffc0
arkansas-little-rock,Little Rock,54457dd4300969b132fcff32
long-beach-state,Long Beach State,54457dd4300969b132fcff51
long-island-university,Long Island,54457dd4300969b132fcfff1
longwood,Longwood,54457dd4300969b132fcffb3
louisiana-lafayette,Louisiana,54457dd4300969b132fcffbd
louisiana-state,Louisiana State,54457dd3300969b132fcfed3
louisiana-tech,Louisiana Tech,54457dd3300969b132fcfefc
louisiana-monroe,Louisiana-Monroe,54457dd4300969b132fcffa5
louisville,Louisville,54457dd3300969b132fcfe99
loyola-il,Loyola-Chicago,54457dd4300969b132fcff71
loyola-md,Loyola-Maryland,54457dd4300969b132fcff6f
loyola-marymount,Loyola Marymount,54457dd4300969b132fcff0b
maine,Maine,54457dd4300969b132fcffc6
manhattan,Manhattan,54457dd4300969b132fcff1e
marist,Marist,54457dd4300969b132fcff5e
marquette,Marquette,54457dd3300969b132fcfee2
marshall,Marshall,54457dd3300969b132fcfeee
maryland,Maryland,54457dd3300969b132fcfe8a
maryland-baltimore-county,Maryland-Baltimore County,54457dd4300969b132fcffaa
maryland-eastern-shore,Maryland-Eastern Shore,54457dd4300969b132fcff77
massachusetts,Massachusetts,54457dd3300969b132fcfecc
massachusetts-lowell,Massachusetts-Lowell,54457dd8300969b132fd02cb
mcneese-state,McNeese State,54457dd4300969b132fcff8b
memphis,Memphis,54457dd3300969b132fcfe81
mercer,Mercer,54457dd4300969b132fcffdf
merrimack,Merrimack,54457dd5300969b132fd00df
miami-fl,Miami (FL),54457dd3300969b132fcfea4
miami-oh,Miami (OH),54457dd3300969b132fcfeb2
michigan-state,Michigan State,54457dd3300969b132fcfe90
michigan,Michigan,54457dd3300969b132fcfe97
middle-tennessee,Middle Tennessee,54457dd4300969b132fcff85
milwaukee,Milwaukee,54457dd3300969b132fcfefb
minnesota,Minnesota,54457dd3300969b132fcfef8
mississippi,Mississippi,54457dd4300969b132fcff12
mississippi-state,Mississippi State,54457dd4300969b132fcff5a
mississippi-valley-state,Mississippi Valley State,54457dd4300969b132fcff55
missouri-state,Missouri State,54457dd4300969b132fcff38
missouri,Missouri,54457dd3300969b132fcfea8
monmouth,Monmouth,54457dd4300969b132fcff22
montana,Montana,54457dd4300969b132fcff2a
montana-state,Montana State,54457dd4300969b132fcffe7
morehead-state,Morehead State,54457dd4300969b132fcffb5
morgan-state,Morgan State,54457dd4300969b132fcffa2
mount-st-marys,Mount St. Marys,54457dd4300969b132fcffd1
murray-state,Murray State,54457dd4300969b132fcff36
navy,Navy,54457dd4300969b132fcff80
north-carolina-state,North Carolina State,54457dd3300969b132fcfea5
nebraska,Nebraska,54457dd3300969b132fcfef6
nevada,Nevada,54457dd3300969b132fcfeac
nevada-las-vegas,UNLV,54457dd3300969b132fcfeb1
new-hampshire,New Hampshire,54457dd3300969b132fcfee5
new-mexico,New Mexico,54457dd4300969b132fcff02
new-mexico-state,New Mexico State,54457dd3300969b132fcfec6
new-orleans,New Orleans,54457dd3300969b132fcfeca
niagara,Niagara,54457dd4300969b132fcff7f
nicholls-state,Nicholls State,54457dd4300969b132fcff4d
njit,NJIT,54457dd4300969b132fcffdb
norfolk-state,Norfolk State,54457dd4300969b132fcff3b
north-alabama,North Alabama,54457dd6300969b132fd0130
north-carolina-at,North Carolina A&T,54457dd4300969b132fcffbc
north-carolina-central,North Carolina Central,54457dd4300969b132fcffac
