Date,Open,High,Low,Close,Volume
12/08/2023,"99.02","99.79","98.75","99.55","22,074,949"
12/07/2023,"99.86","100.84","98.09","98.42","29,990,730"
12/06/2023,"100.00","100.72","98.34","99.11","31,154,789"
12/05/2023,"102.27","102.34","100.29","100.44","22,250,250"
12/04/2023,"102.13","103.36","101.59","102.43","21,523,939"
12/01/2023,"102.50","104.22","102.22","102.99","17,845,279"
11/30/2023,"103.11","104.48","101.81","102.74","29,254,689"
11/29/2023,"104.27","104.58","101.64","102.34","26,802,090"
11/28/2023,"104.24","104.91","103.88","103.90","20,629,510"
11/27/2023,"104.10","104.40","103.18","103.96","18,013,520"
11/24/2023,"104.02","105.47","103.91","104.57","9,480,768"
11/22/2023,"102.58","104.12","101.94","104.01","18,073,240"
11/21/2023,"104.21","104.70","103.22","104.46","14,988,980"
11/20/2023,"105.38","105.88","104.43","104.50","17,464,020"
11/17/2023,"103.06","105.43","102.75","104.96","22,991,820"
11/16/2023,"102.90","103.27","101.15","102.46","22,469,070"
11/15/2023,"103.96","105.15","103.50","103.66","20,137,561"
11/14/2023,"104.30","104.82","103.87","104.29","18,260,520"
11/13/2023,"104.05","105.14","103.81","104.84","15,308,380"
11/10/2023,"103.93","104.41","102.91","103.75","17,831,340"
11/09/2023,"103.67","103.97","102.86","102.96","18,380,539"
11/08/2023,"103.73","104.90","102.89","102.93","19,184,070"
11/07/2023,"104.47","104.86","103.29","104.21","20,272,490"
11/06/2023,"108.17","108.27","105.77","105.87","19,097,270"
11/03/2023,"108.40","108.78","106.54","107.78","30,555,551"
11/02/2023,"105.88","109.19","105.50","109.11","25,212,689"
11/01/2023,"106.53","107.17","105.46","105.64","28,984,869"
10/31/2023,"105.58","106.16","104.54","105.85","22,185,150"
10/30/2023,"105.74","106.42","105.21","105.88","19,379,920"
10/27/2023,"108.89","109.86","104.96","105.55","23,092,020"
10/26/2023,"107.45","108.34","106.50","107.60","18,768,289"
10/25/2023,"108.52","109.50","108.13","108.59","22,047,320"
10/24/2023,"109.70","109.82","108.12","108.39","16,786,109"
10/23/2023,"110.63","110.96","108.68","109.45","18,184,949"
10/20/2023,"112.92","113.32","110.79","111.08","22,445,270"
10/19/2023,"112.72","113.97","111.33","113.02","20,972,490"
10/18/2023,"111.82","113.39","111.70","112.95","23,380,270"
10/17/2023,"109.73","111.80","109.68","111.39","19,775,439"
10/16/2023,"110.50","110.68","109.13","109.95","18,452,000"
10/13/2023,"108.03","110.20","107.84","109.87","30,290,330"
10/12/2023,"107.59","107.84","106.09","106.47","31,182,961"
10/11/2023,"106.96","107.17","104.83","106.49","57,939,020"
10/10/2023,"111.02","111.45","110.12","110.45","13,891,950"
10/09/2023,"110.44","112.07","109.52","110.92","22,369,891"
