Date,Open,High,Low,Close,Change(Pips),Change(%)
02/15/2022 00:00,1.13062,1.13084,1.13029,1.13072,1.0,0.01,
02/14/2022 23:55,1.13067,1.13074,1.13051,1.13055,-1.2,-0.01,
02/14/2022 23:50,1.13051,1.13072,1.13051,1.13072,2.1,0.02,
02/14/2022 23:45,1.13045,1.13057,1.13042,1.13051,0.6,0.01,
02/14/2022 23:40,1.13054,1.13055,1.13039,1.13044,-1.0,-0.01,
02/14/2022 23:35,1.13049,1.13054,1.13036,1.13051,0.2,0.00,
02/14/2022 23:30,1.13043,1.13052,1.13041,1.1305,0.7,0.01,
02/14/2022 23:25,1.13056,1.13062,1.13039,1.13045,-1.1,-0.01,
02/14/2022 23:20,1.13051,1.13059,1.13042,1.13057,0.6,0.01,
02/14/2022 23:15,1.1304,1.13051,1.13036,1.1305,1,0.01,
02/14/2022 23:10,1.13042,1.13053,1.13039,1.13046,0.4,0.00,
02/14/2022 23:05,1.13051,1.13051,1.13038,1.13043,-0.8,-0.01,
02/14/2022 23:00,1.13047,1.13063,1.13047,1.1305,0.3,0.00,
02/14/2022 22:55,1.13039,1.13049,1.13035,1.13044,0.5,0.00,
02/14/2022 22:50,1.13043,1.13044,1.13037,1.13037,-0.6,-0.01,
02/14/2022 22:45,1.13034,1.13057,1.1303,1.13042,0.8,0.01,
02/14/2022 22:40,1.13028,1.13042,1.13017,1.13031,0.3,0.00,
02/14/2022 22:35,1.13048,1.13051,1.13043,1.13043,-0.5,0.00,
02/14/2022 22:30,1.1303,1.13054,1.1303,1.13045,1.5,0.01,
02/14/2022 22:25,1.1303,1.13057,1.13025,1.13026,-0.4,0.00,
02/14/2022 22:20,1.13038,1.13038,1.13031,1.13034,-0.4,0.00,
02/14/2022 22:15,1.13019,1.13042,1.13019,1.13042,2.3,0.02,
02/14/2022 22:10,1.13027,1.13056,1.13011,1.13014,-1.3,-0.01,
02/14/2022 22:05,1.13057,1.1306,1.13007,1.13028,-2.9,-0.03,
02/14/2022 22:00,1.1305,1.13054,1.13049,1.13053,0.3,0.00,
02/14/2022 21:55,1.13074,1.13074,1.1305,1.13062,-1.2,-0.01,
02/14/2022 21:50,1.13053,1.1308,1.13048,1.13079,2.6,0.02,
02/14/2022 21:45,1.13057,1.13059,1.13039,1.13054,-0.3,0.00,
02/14/2022 21:40,1.13045,1.13058,1.1304,1.13057,1.2,0.01,
02/14/2022 21:35,1.13034,1.13061,1.13031,1.13044,1.0,0.01,
02/14/2022 21:30,1.13025,1.13035,1.13025,1.13032,0.7,0.01,
02/14/2022 21:25,1.1301,1.13028,1.13003,1.13028,1.8,0.02,
02/14/2022 21:20,1.13001,1.13013,1.12996,1.13009,0.8,0.01,
02/14/2022 21:15,1.12981,1.13002,1.1298,1.13002,2.1,0.02,
02/14/2022 21:10,1.1298,1.1298,1.12971,1.12977,-0.3,0.00,
02/14/2022 21:05,1.12963,1.1298,1.12959,1.12979,1.6,0.01,
02/14/2022 21:00,1.12943,1.12968,1.12942,1.12959,1.6,0.01,
02/14/2022 20:55,1.12986,1.13,1.12935,1.12943,-4.3,-0.04,
02/14/2022 20:50,1.12999,1.13001,1.12952,1.12988,-1.1,-0.01,
02/14/2022 20:45,1.13025,1.13031,1.12999,1.13,-2.5,-0.02,
02/14/2022 20:40,1.13042,1.13045,1.13017,1.13027,-1.5,-0.01,
02/14/2022 20:35,1.13039,1.13049,1.13026,1.13043,0.4,0.00,
02/14/2022 20:30,1.13021,1.13043,1.12995,1.13036,1.5,0.01,
02/14/2022 20:25,1.12991,1.13028,1.1299,1.13022,3.1,0.03,
02/14/2022 20:20,1.12992,1.13017,1.12988,1.12991,-0.1,0.00,
02/14/2022 20:15,1.12986,1.12997,1.12952,1.12993,0.7,0.01,
02/14/2022 20:10,1.12972,1.13,1.12953,1.12987,1.5,0.01,
02/14/2022 20:05,1.12955,1.12979,1.12927,1.12971,1.6,0.01,
02/14/2022 20:00,1.12947,1.13005,1.12945,1.12952,0.5,0.00,
02/14/2022 19:55,1.12949,1.12988,1.12943,1.12945,-0.4,0.00,
02/14/2022 19:50,1.12936,1.12968,1.12921,1.12946,1.0,0.01,
02/14/2022 19:45,1.12941,1.12959,1.12922,1.12938,-0.3,0.00,
02/14/2022 19:40,1.12967,1.12992,1.12917,1.1294,-2.7,-0.02,
02/14/2022 19:35,1.12942,1.12984,1.12895,1.12967,2.5,0.02,
02/14/2022 19:30,1.12874,1.12955,1.12834,1.12942,6.8,0.06,
02/14/2022 19:25,1.12841,1.12986,1.12831,1.12869,2.8,0.02,
02/14/2022 19:20,1.12934,1.12942,1.12797,1.12841,-9.3,-0.08,
02/14/2022 19:15,1.12936,1.12947,1.12913,1.12934,-0.2,0.00,
02/14/2022 19:10,1.12965,1.1298,1.12935,1.12935,-3.0,-0.03,
02/14/2022 19:05,1.12987,1.12998,1.12932,1.12969,-1.8,-0.02,
02/14/2022 19:00,1.12976,1.13017,1.1296,1.12983,0.7,0.01,
02/14/2022 18:55,1.12997,1.13052,1.1297,1.1297,-2.7,-0.02,
02/14/2022 18:50,1.13086,1.13105,1.12989,1.13,-8.6,-0.08,
02/14/2022 18:45,1.13114,1.13125,1.13081,1.13084,-3.0,-0.03,
02/14/2022 18:40,1.13101,1.13128,1.13098,1.13115,1.4,0.01,
02/14/2022 18:35,1.13103,1.13117,1.13078,1.13102,-0.1,0.00,
